 -67.00    1.9953E+08    2.7995E+09    2.3342E+09    9.3640E+09    8.0309E+09
 -67.00    2.5119E+08    3.9203E+09    3.2633E+09    1.3400E+10    1.1074E+10
 -67.00    3.1623E+08    5.2138E+09    4.3427E+09    1.8065E+10    1.4615E+10
 -67.00    3.9811E+08    1.0883E+10    9.0764E+09    2.8862E+10    2.4131E+10
 -67.00    5.0119E+08    1.7465E+10    1.4556E+10    4.1362E+10    3.5138E+10
 -67.00    6.3096E+08    2.5087E+10    2.0911E+10    5.5740E+10    4.7819E+10
 -67.00    7.9433E+08    3.3856E+10    2.8211E+10    7.2249E+10    6.2290E+10
 -67.00    1.0000E+09    4.3849E+10    3.6552E+10    9.0952E+10    7.8764E+10
 -67.00    1.2589E+09    5.9084E+10    4.9228E+10    1.1777E+11    1.0058E+11
 -67.00    1.5849E+09    7.6407E+10    6.3639E+10    1.4829E+11    1.2538E+11
 -67.00    1.9953E+09    9.6015E+10    7.9995E+10    1.8278E+11    1.5350E+11
 -67.00    2.5119E+09    1.1819E+11    9.8517E+10    2.2177E+11    1.8477E+11
 -67.00    3.1623E+09    1.4315E+11    1.1926E+11    2.6541E+11    2.1998E+11
 -67.00    3.9811E+09    1.7199E+11    1.4335E+11    3.0824E+11    2.4995E+11
 -67.00    5.0119E+09    2.0445E+11    1.7037E+11    3.5570E+11    2.8252E+11
 -67.00    6.3096E+09    2.4053E+11    2.0032E+11    4.0846E+11    3.1887E+11
 -67.00    7.9433E+09    2.8049E+11    2.3383E+11    4.6656E+11    3.5841E+11
 -67.00    1.0000E+10    3.2494E+11    2.7102E+11    5.3044E+11    4.0266E+11
 -67.00    1.2589E+10    3.6072E+11    3.0053E+11    5.8935E+11    4.5565E+11
 -67.00    1.5849E+10    3.9936E+11    3.3267E+11    6.5299E+11    5.1521E+11
 -67.00    1.9953E+10    4.4134E+11    3.6790E+11    7.2255E+11    5.7935E+11
 -67.00    2.5119E+10    4.8685E+11    4.0584E+11    7.9790E+11    6.4997E+11
 -67.00    3.1623E+10    5.3646E+11    4.4709E+11    8.7977E+11    7.2780E+11
 -67.00    3.9811E+10    5.7364E+11    4.7781E+11    9.4032E+11    7.7693E+11
 -67.00    5.0119E+10    6.1230E+11    5.1038E+11    1.0041E+12    8.3041E+11
 -67.00    6.3096E+10    6.5361E+11    5.4508E+11    1.0714E+12    8.8609E+11
 -67.00    7.9433E+10    6.9688E+11    5.8086E+11    1.1429E+12    9.4523E+11
 -67.00    1.0000E+11    7.4283E+11    6.1929E+11    1.2176E+12    1.0071E+12
 0. 0. 0. 0. 0. 0.
 -66.00    1.9953E+07    0.0000E+00    0.0000E+00    0.0000E+00    0.0000E+00
 -66.00    2.5119E+07    0.0000E+00    0.0000E+00    0.0000E+00    0.0000E+00
 -66.00    3.1623E+07    0.0000E+00    0.0000E+00    0.0000E+00    0.0000E+00
 -66.00    3.9811E+07    0.0000E+00    0.0000E+00    0.0000E+00    0.0000E+00
 -66.00    5.0119E+07    0.0000E+00    0.0000E+00    0.0000E+00    0.0000E+00
